# time, vertical, radial, transverse
0.000000000000000000e+00 9.828825753288583614e-21 7.995908934965711363e-22 -1.187761555776489722e-21
3.999999910593032837e-02 9.738477579901427196e-21 6.673652186428569178e-22 -1.949488570573976270e-21
7.999999821186065674e-02 9.775169118597659838e-21 9.019174296298615374e-22 -1.192720033849070688e-21
1.199999973177909851e-01 9.861047978176883732e-21 1.268257499020819455e-21 -1.382046810327608449e-21
1.599999964237213135e-01 9.601403228032268613e-21 4.424682287229586893e-22 2.147842459443438528e-22
1.999999955296516418e-01 9.710434234477816604e-21 7.076961794361124899e-22 5.013526260810863496e-22
2.399999946355819702e-01 9.741664364071311192e-21 8.636078518975409024e-22 -8.291177744368382779e-22
2.799999937415122986e-01 9.731318861838644439e-21 9.410926482544822512e-22 3.252699776190581636e-22
3.199999928474426270e-01 9.549757429283545756e-21 3.449774355068768583e-22 -7.996317497038773414e-22
3.599999919533729553e-01 9.731167871507295387e-21 8.974531673366925016e-22 -1.806630955947241531e-21
3.999999910593032837e-01 9.751124352419537867e-21 9.694943736704431789e-22 -4.195173930465756567e-22
4.399999901652336121e-01 9.918254662011349290e-21 1.052669618140100681e-21 7.886696296033335419e-22
4.799999892711639404e-01 8.679342577977422334e-21 4.444241363810163666e-22 2.066979698511772862e-21
5.199999883770942688e-01 6.940561014801005220e-21 1.087848477965280864e-21 -2.769611762154511173e-22
5.599999874830245972e-01 5.855736784354803820e-21 2.575887725342340790e-21 -3.284811533887932286e-21
5.999999865889549255e-01 5.444546591348853557e-21 2.257780851167012904e-21 -2.005718480191376219e-21
6.399999856948852539e-01 6.139684316508464242e-21 3.399210690702148185e-21 -1.451192388479682945e-21
6.799999848008155823e-01 6.194357027311525174e-21 4.019041544012225305e-21 -1.366061042062938198e-21
7.199999839067459106e-01 7.104078214581476857e-21 4.581332202491239763e-21 -5.884074893991453639e-22
7.599999830126762390e-01 7.408192725932849421e-21 7.452443107069938828e-21 2.414285715790498243e-22
7.999999821186065674e-01 8.565528730741788612e-21 -6.608678881914187187e-23 7.539688873237082647e-21
8.399999812245368958e-01 1.077906475188683562e-20 -6.899107063418341078e-21 1.284517292532427733e-20
8.799999803304672241e-01 1.204263799792215652e-20 -3.925607394705821288e-21 7.868978357805644910e-21
9.199999794363975525e-01 1.539431693231563355e-20 -1.327804532991194747e-21 7.316818262381730236e-21
9.599999785423278809e-01 1.522012205157352604e-20 -1.250569758859398832e-21 4.774532769147299252e-21
9.999999776482582092e-01 1.510338698551549828e-20 1.197118404405728201e-21 2.299147983109151078e-21
1.039999976754188538e+00 1.594085219380758535e-20 1.192288157092491383e-21 -9.232622999455486686e-22
1.079999975860118866e+00 1.441389851919438867e-20 1.302486785093037743e-21 1.405243921226428872e-21
1.119999974966049194e+00 1.227107127022008996e-20 1.796310766799535896e-21 3.034088258413447793e-22
1.159999974071979523e+00 1.307726282817611649e-20 2.359353601377733854e-21 1.233540269929278507e-21
