# time, vertical, radial, transverse
0.000000000000000000e+00 -5.757988308374706313e-21 -2.632655338175027104e-20 8.447702981584369836e-21
3.999999910593032837e-02 1.339522359700140410e-20 1.991746678697836497e-20 1.436760754813803992e-20
7.999999821186065674e-02 1.968605278790391764e-21 -2.540041066367848316e-21 -5.824014603916793442e-21
1.199999973177909851e-01 1.870535532022543540e-22 -1.764024126771346448e-20 6.303517707806349577e-21
1.599999964237213135e-01 1.924287040822036973e-20 1.299537188970134528e-20 1.427733575809497794e-20
1.999999955296516418e-01 2.995116687998233569e-20 7.861880035875401171e-21 3.405727477812092307e-21
2.399999946355819702e-01 4.293234923125055429e-20 -3.573490303665494149e-20 -1.578472108576533996e-20
2.799999937415122986e-01 5.116205414879004832e-20 2.793264108902349340e-20 9.738257489289026238e-20
3.199999928474426270e-01 3.344804611060681256e-20 -4.852345369954491440e-20 -2.332522619497012604e-20
3.599999919533729553e-01 1.981660524563721967e-20 1.336783483907311194e-20 6.776909344807791447e-20
3.999999910593032837e-01 4.140404286090415479e-20 1.964959217559680663e-20 3.410846360907271556e-20
4.399999901652336121e-01 1.224166185087582806e-22 8.513628912965032406e-21 -4.249788432275636508e-20
4.799999892711639404e-01 4.493573069197509771e-21 9.476270435015977014e-21 1.164611518333913283e-19
5.199999883770942688e-01 2.221540285063383553e-20 5.596847785227509698e-20 -1.598005070491126374e-19
5.599999874830245972e-01 -2.880398142224294169e-20 -1.037771313328050861e-21 2.036254898030165193e-19
5.999999865889549255e-01 1.129682392075892412e-20 1.908457214483405490e-20 -2.124916278489763560e-19
6.399999856948852539e-01 -1.973282692802058456e-20 6.587001166735717923e-20 1.898116295251384193e-19
6.799999848008155823e-01 -1.408438699002090239e-20 -2.706017099285418094e-20 -1.706598169448625379e-19
7.199999839067459106e-01 -2.294225787125014745e-20 3.596423070462151112e-20 3.079448518406024678e-20
7.599999830126762390e-01 4.951291820987080142e-21 5.431342842143749457e-20 6.275860187088255332e-20
