# time, vertical, radial, transverse
0.000000000000000000e+00 -1.365296975563978714e-17 -3.967504653701325968e-18 0.000000000000000000e+00
3.999999910593032837e-02 -1.077442539099138149e-17 -1.499577410868368915e-17 0.000000000000000000e+00
7.999999821186065674e-02 -2.860277527361176882e-17 -7.265344174811616444e-17 0.000000000000000000e+00
1.199999973177909851e-01 2.015265054069459341e-16 3.272687026765197345e-16 0.000000000000000000e+00
1.599999964237213135e-01 -5.405221600085496358e-16 -7.316770497709513054e-16 0.000000000000000000e+00
1.999999955296516418e-01 9.778186213225125214e-16 1.162602799013256972e-15 0.000000000000000000e+00
2.399999946355819702e-01 -1.304971636272966782e-15 -1.379973022267222398e-15 0.000000000000000000e+00
2.799999937415122986e-01 1.157431514002382714e-15 1.046271994709968558e-15 0.000000000000000000e+00
3.199999928474426270e-01 3.631339495768770490e-17 3.534558054525405053e-16 0.000000000000000000e+00
3.599999919533729553e-01 -3.676463151350617446e-15 -4.295906517654657227e-15 0.000000000000000000e+00
3.999999910593032837e-01 2.813890576362609885e-14 3.188232332468032787e-14 0.000000000000000000e+00
4.399999901652336121e-01 2.245362289249897021e-14 3.558928892016410665e-14 0.000000000000000000e+00
4.799999892711639404e-01 -6.023859023116529121e-16 1.090798433870077075e-14 0.000000000000000000e+00
5.199999883770942688e-01 5.498069338500500000e-15 2.116010896861553254e-14 0.000000000000000000e+00
5.599999874830245972e-01 1.876739319413900335e-15 2.004182897508144387e-14 0.000000000000000000e+00
5.999999865889549255e-01 7.506065536290407747e-15 1.984819397330284115e-14 0.000000000000000000e+00
6.399999856948852539e-01 -3.976486157625913595e-15 3.046448715031147252e-14 0.000000000000000000e+00
6.799999848008155823e-01 3.545048832893371428e-14 -4.434741102159022914e-15 0.000000000000000000e+00
7.199999839067459106e-01 7.292906939983367825e-14 -2.627725712954997957e-14 0.000000000000000000e+00
7.599999830126762390e-01 2.775090560317039366e-14 -4.112223628908395312e-15 0.000000000000000000e+00
7.999999821186065674e-01 1.376823242753744175e-14 -4.383554216474294293e-15 0.000000000000000000e+00
8.399999812245368958e-01 1.346256770193576860e-14 -4.713213071227073297e-15 0.000000000000000000e+00
8.799999803304672241e-01 5.973681341856717681e-15 -2.398171462118625402e-15 0.000000000000000000e+00
9.199999794363975525e-01 7.156775332987308529e-15 -3.963211085647344549e-15 0.000000000000000000e+00
9.599999785423278809e-01 3.994742408394813469e-15 -2.291714772582054005e-15 0.000000000000000000e+00
9.999999776482582092e-01 3.532847622409462672e-15 -2.685943385586142387e-15 0.000000000000000000e+00
1.039999976754188538e+00 2.730850828811526259e-15 -2.193938475102186072e-15 0.000000000000000000e+00
1.079999975860118866e+00 2.009189920499920709e-15 -1.942859846167266248e-15 0.000000000000000000e+00
1.119999974966049194e+00 1.584046985954046134e-15 -1.732312375679612058e-15 0.000000000000000000e+00
1.159999974071979523e+00 1.326617319136857919e-15 -1.604605233296752006e-15 0.000000000000000000e+00
1.199999973177909851e+00 9.182155481539666490e-16 -1.304949168115854229e-15 0.000000000000000000e+00
1.239999972283840179e+00 8.076468948274850795e-16 -1.280659693293273442e-15 0.000000000000000000e+00
1.279999971389770508e+00 6.093962001614272655e-16 -1.073848339729011082e-15 0.000000000000000000e+00
1.319999970495700836e+00 4.669237823691218736e-16 -9.809188777580856836e-16 0.000000000000000000e+00
1.359999969601631165e+00 3.810333437286317208e-16 -8.846582495607435930e-16 0.000000000000000000e+00
1.399999968707561493e+00 3.041197196580469420e-16 -8.008152362890541707e-16 0.000000000000000000e+00
1.439999967813491821e+00 2.117318508680909916e-16 -6.974512943997979282e-16 0.000000000000000000e+00
1.479999966919422150e+00 1.908385602291673458e-16 -6.703792605549097027e-16 0.000000000000000000e+00
1.519999966025352478e+00 1.297157141380012098e-16 -5.743416841141879641e-16 0.000000000000000000e+00
1.559999965131282806e+00 9.814352961257100466e-17 -5.406312993727624293e-16 0.000000000000000000e+00
1.599999964237213135e+00 7.720493158558383442e-17 -4.906698595732450540e-16 0.000000000000000000e+00
1.639999963343143463e+00 5.153793244971893435e-17 -4.474344314076006492e-16 0.000000000000000000e+00
1.679999962449073792e+00 2.830868652381468678e-17 -4.055494209751486911e-16 0.000000000000000000e+00
1.719999961555004120e+00 2.506035161786712611e-17 -3.867360355798154997e-16 0.000000000000000000e+00
1.759999960660934448e+00 2.835912937371176671e-18 -3.388269396964460616e-16 0.000000000000000000e+00
1.799999959766864777e+00 -2.574348627604194896e-18 -3.263791440986096609e-16 0.000000000000000000e+00
1.839999958872795105e+00 -8.694499229022766632e-18 -2.964688173960894463e-16 0.000000000000000000e+00
1.879999957978725433e+00 -1.816404619603417718e-17 -2.748394035734235975e-16 0.000000000000000000e+00
1.919999957084655762e+00 -2.290031807206105264e-17 -2.553877129685133783e-16 0.000000000000000000e+00
1.959999956190586090e+00 -2.332610529265366484e-17 -2.421389799565076946e-16 0.000000000000000000e+00
1.999999955296516418e+00 -3.217349876649677567e-17 -2.172866952605545498e-16 0.000000000000000000e+00
2.039999954402446747e+00 -3.063249096157960264e-17 -2.121922007063403609e-16 0.000000000000000000e+00
2.079999953508377075e+00 -3.344368087709881003e-17 -1.926924451254308165e-16 0.000000000000000000e+00
2.119999952614307404e+00 -3.627693513408303143e-17 -1.823976781452074508e-16 0.000000000000000000e+00
2.159999951720237732e+00 -3.613825901993550551e-17 -1.716817205306142441e-16 0.000000000000000000e+00
2.199999950826168060e+00 -3.619617200456559704e-17 -1.621988340048119487e-16 0.000000000000000000e+00
2.239999949932098389e+00 -3.929992089979350339e-17 -1.491328584961593001e-16 0.000000000000000000e+00
2.279999949038028717e+00 -3.685187402879819080e-17 -1.461863430449739145e-16 0.000000000000000000e+00
2.319999948143959045e+00 -3.845029277727007979e-17 -1.329570804955437869e-16 0.000000000000000000e+00
2.359999947249889374e+00 -3.867876512231305088e-17 -1.283546007471159048e-16 0.000000000000000000e+00
2.399999946355819702e+00 -3.752648990484885493e-17 -1.210841073771007339e-16 0.000000000000000000e+00
2.439999945461750031e+00 -3.769513205043040355e-17 -1.145177593571133868e-16 0.000000000000000000e+00
2.479999944567680359e+00 -3.830974310403689383e-17 -1.075600521289743423e-16 0.000000000000000000e+00
2.519999943673610687e+00 -3.614918750827200562e-17 -1.050961363944224998e-16 0.000000000000000000e+00
2.559999942779541016e+00 -3.711004319484345700e-17 -9.620191849535331095e-17 0.000000000000000000e+00
2.599999941885471344e+00 -3.622415169957094060e-17 -9.438610868528484843e-17 0.000000000000000000e+00
2.639999940991401672e+00 -3.516700962791219200e-17 -8.875420462572947427e-17 0.000000000000000000e+00
2.679999940097332001e+00 -3.518690209602937317e-17 -8.452821930404752311e-17 0.000000000000000000e+00
2.719999939203262329e+00 -3.470751471468247515e-17 -8.053093188209458741e-17 0.000000000000000000e+00
2.759999938309192657e+00 -3.322620977996848597e-17 -7.812918920535594057e-17 0.000000000000000000e+00
2.799999937415122986e+00 -3.382971044629812115e-17 -7.231659401440992408e-17 0.000000000000000000e+00
2.839999936521053314e+00 -3.251196176279336311e-17 -7.161412941059097839e-17 0.000000000000000000e+00
2.879999935626983643e+00 -3.188584742019884408e-17 -6.702191603835671978e-17 0.000000000000000000e+00
2.919999934732913971e+00 -3.178364931955002219e-17 -6.460071017500012658e-17 0.000000000000000000e+00
2.959999933838844299e+00 -3.086926881223917074e-17 -6.206175748957321450e-17 0.000000000000000000e+00
2.999999932944774628e+00 -3.003037272719666041e-17 -5.989777127979323424e-17 0.000000000000000000e+00
3.039999932050704956e+00 -3.014936010004021408e-17 -5.630349551211111724e-17 0.000000000000000000e+00
3.079999931156635284e+00 -2.888060407713055589e-17 -5.590933142229914329e-17 0.000000000000000000e+00
3.119999930262565613e+00 -2.867213697754777891e-17 -5.215700730332173151e-17 0.000000000000000000e+00
3.159999929368495941e+00 -2.824961120495572702e-17 -5.096881432109512216e-17 0.000000000000000000e+00
3.199999928474426270e+00 -2.733984183578286333e-17 -4.900259227724745698e-17 0.000000000000000000e+00
3.239999927580356598e+00 -2.690814471861813198e-17 -4.718848140328190927e-17 0.000000000000000000e+00
3.279999926686286926e+00 -2.673328344826586443e-17 -4.500599970924667880e-17 0.000000000000000000e+00
3.319999925792217255e+00 -2.565203067206312056e-17 -4.453799920156597940e-17 0.000000000000000000e+00
3.359999924898147583e+00 -2.556128129072021724e-17 -4.162243931205011728e-17 0.000000000000000000e+00
3.399999924004077911e+00 -2.505443990230560144e-17 -4.117739445064217008e-17 0.000000000000000000e+00
3.439999923110008240e+00 -2.438338924548588700e-17 -3.942183684557676122e-17 0.000000000000000000e+00
3.479999922215938568e+00 -2.411687273706775225e-17 -3.808688416029326844e-17 0.000000000000000000e+00
3.519999921321868896e+00 -2.373762436036486238e-17 -3.677526547107845735e-17 0.000000000000000000e+00
3.559999920427799225e+00 -2.298614344908855737e-17 -3.614812158048152837e-17 0.000000000000000000e+00
3.599999919533729553e+00 -2.294180740136653095e-17 -3.397438558749854435e-17 0.000000000000000000e+00
3.639999918639659882e+00 -2.233118175354320372e-17 -3.390134952496737343e-17 0.000000000000000000e+00
3.679999917745590210e+00 -2.186564233852550392e-17 -3.231200753361917845e-17 0.000000000000000000e+00
3.719999916851520538e+00 -2.168321225326508383e-17 -3.145254231640137849e-17 0.000000000000000000e+00
3.759999915957450867e+00 -2.126314939232543091e-17 -3.056501373066566723e-17 0.000000000000000000e+00
3.799999915063381195e+00 -2.073494579235557454e-17 -2.985440005431882686e-17 0.000000000000000000e+00
3.839999914169311523e+00 -2.064642649202141914e-17 -2.841177047230303337e-17 0.000000000000000000e+00
3.879999913275241852e+00 -2.006862632697447981e-17 -2.847340147127397511e-17 0.000000000000000000e+00
3.919999912381172180e+00 -1.984561640711035633e-17 -2.700788900256157018e-17 0.000000000000000000e+00
3.959999911487102509e+00 -1.962544411071576260e-17 -2.654931631695944841e-17 0.000000000000000000e+00
3.999999910593032837e+00 -1.911219624162185940e-17 -2.581027547421399602e-17 0.000000000000000000e+00
4.039999909698963165e+00 -1.880910713225603208e-17 -2.510485683160368427e-17 0.000000000000000000e+00
4.079999908804893494e+00 -1.871384847618173622e-17 -2.412484900560230107e-17 0.000000000000000000e+00
4.119999907910823822e+00 -1.812924165278673223e-17 -2.403440885245800060e-17 0.000000000000000000e+00
4.159999907016754150e+00 -1.799169513105880287e-17 -2.277094972669146933e-17 0.000000000000000000e+00
4.199999906122684479e+00 -1.780077218427322655e-17 -2.266105002490803663e-17 0.000000000000000000e+00
4.239999905228614807e+00 -1.743999018799513551e-17 -2.194479748141020407e-17 0.000000000000000000e+00
4.279999904334545135e+00 -1.727468043100088859e-17 -2.136370494554285061e-17 0.000000000000000000e+00
4.319999903440475464e+00 -1.700127722870092941e-17 -2.076756027236114992e-17 0.000000000000000000e+00
4.359999902546405792e+00 -1.659682493482250577e-17 -2.058798963844310427e-17 0.000000000000000000e+00
4.399999901652336121e+00 -1.654232801229227444e-17 -1.959170367626938937e-17 0.000000000000000000e+00
4.439999900758266449e+00 -1.616871122678276083e-17 -1.958695611392613537e-17 0.000000000000000000e+00
4.479999899864196777e+00 -1.592565058672334833e-17 -1.878283183032181066e-17 0.000000000000000000e+00
4.519999898970127106e+00 -1.575972055434249326e-17 -1.834519025578629222e-17 0.000000000000000000e+00
4.559999898076057434e+00 -1.547823740111198145e-17 -1.794899253582116026e-17 0.000000000000000000e+00
4.599999897181987762e+00 -1.518623048468725598e-17 -1.766519017110113164e-17 0.000000000000000000e+00
4.639999896287918091e+00 -1.506954322394449349e-17 -1.692635487415827829e-17 0.000000000000000000e+00
4.679999895393848419e+00 -1.480845185142243167e-17 -1.698586856946349122e-17 0.000000000000000000e+00
4.719999894499778748e+00 -1.466239154979120878e-17 -1.628141944820526882e-17 0.000000000000000000e+00
4.759999893605709076e+00 -1.453254026273498170e-17 -1.610488834558054707e-17 0.000000000000000000e+00
4.799999892711639404e+00 -1.424079255230026424e-17 -1.578321644046809386e-17 0.000000000000000000e+00
4.839999891817569733e+00 -1.397471623931778510e-17 -1.545148734294343647e-17 0.000000000000000000e+00
4.879999890923500061e+00 -1.393046659359242699e-17 -1.495206197432707885e-17 0.000000000000000000e+00
4.919999890029430389e+00 -1.360257101623574258e-17 -1.496322329330723617e-17 0.000000000000000000e+00
4.959999889135360718e+00 -1.344884640275267893e-17 -1.425826576451072350e-17 0.000000000000000000e+00
4.999999888241291046e+00 -1.336525110673392212e-17 -1.417313615093007750e-17 0.000000000000000000e+00
5.039999887347221375e+00 -1.311851337959524205e-17 -1.381115180265623989e-17 0.000000000000000000e+00
5.079999886453151703e+00 -1.298248116654576732e-17 -1.350624188489746337e-17 0.000000000000000000e+00
5.119999885559082031e+00 -1.284372410736978042e-17 -1.318716840614797568e-17 0.000000000000000000e+00
5.159999884665012360e+00 -1.255144434253452247e-17 -1.311077176069375135e-17 0.000000000000000000e+00
5.199999883770942688e+00 -1.253101527254329934e-17 -1.253285881830379291e-17 0.000000000000000000e+00
5.239999882876873016e+00 -1.233942475664662213e-17 -1.259231976291630425e-17 0.000000000000000000e+00
5.279999881982803345e+00 -1.213765881402650817e-17 -1.221424190589459513e-17 0.000000000000000000e+00
5.319999881088733673e+00 -1.209202400787035037e-17 -1.198484551423462035e-17 0.000000000000000000e+00
5.359999880194664001e+00 -1.188674650620669107e-17 -1.176055138785159117e-17 0.000000000000000000e+00
5.399999879300594330e+00 -1.167982281913282318e-17 -1.162022999778855632e-17 0.000000000000000000e+00
5.439999878406524658e+00 -1.164427794719813349e-17 -1.121596505981869960e-17 0.000000000000000000e+00
5.479999877512454987e+00 -1.146538761531701351e-17 -1.129565589508274512e-17 0.000000000000000000e+00
5.519999876618385315e+00 -1.137987419497221684e-17 -1.090473233489319725e-17 0.000000000000000000e+00
5.559999875724315643e+00 -1.127799350797431495e-17 -1.080620950233424050e-17 0.000000000000000000e+00
5.599999874830245972e+00 -1.111271831177873444e-17 -1.066373442881740646e-17 0.000000000000000000e+00
5.639999873936176300e+00 -1.095749667001655321e-17 -1.053292999131372123e-17 0.000000000000000000e+00
5.679999873042106628e+00 -1.094396338885417133e-17 -1.028569840855197966e-17 0.000000000000000000e+00
5.719999872148036957e+00 -1.084744417312322152e-17 -1.031583906296873372e-17 0.000000000000000000e+00
5.759999871253967285e+00 -1.075449199561262538e-17 -9.950104868039489319e-18 0.000000000000000000e+00
5.799999870359897614e+00 -1.067417542799375976e-17 -9.947695616574491617e-18 0.000000000000000000e+00
5.839999869465827942e+00 -1.055463144439272495e-17 -9.741904250404331649e-18 0.000000000000000000e+00
5.879999868571758270e+00 -1.042850908561376889e-17 -9.562457307765725909e-18 0.000000000000000000e+00
5.919999867677688599e+00 -1.035366585711017169e-17 -9.364159268443472518e-18 0.000000000000000000e+00
5.959999866783618927e+00 -1.017568411043612233e-17 -9.344566024083177702e-18 0.000000000000000000e+00
5.999999865889549255e+00 -1.016865735437022524e-17 -8.996094948088284338e-18 0.000000000000000000e+00
6.039999864995479584e+00 -1.006265756586799312e-17 -9.011950169224291309e-18 0.000000000000000000e+00
6.079999864101409912e+00 -9.941732969309669338e-18 -8.775779861025512742e-18 0.000000000000000000e+00
6.119999863207340240e+00 -9.930600754159968014e-18 -8.671203431731554674e-18 0.000000000000000000e+00
6.159999862313270569e+00 -9.827828762354329481e-18 -8.542576324543915775e-18 0.000000000000000000e+00
6.199999861419200897e+00 -9.687722922535613260e-18 -8.453880582237615794e-18 0.000000000000000000e+00
6.239999860525131226e+00 -9.642578334023710533e-18 -8.164222890627570515e-18 0.000000000000000000e+00
6.279999859631061554e+00 -9.504489753453525728e-18 -8.197685929189902084e-18 0.000000000000000000e+00
6.319999858736991882e+00 -9.422650691703892959e-18 -7.980695954756811655e-18 0.000000000000000000e+00
6.359999857842922211e+00 -9.334145943284966327e-18 -7.941705916891805776e-18 0.000000000000000000e+00
6.399999856948852539e+00 -9.206144568452145987e-18 -7.808796908648218061e-18 0.000000000000000000e+00
6.439999856054782867e+00 -9.105746357818134456e-18 -7.702098628215026618e-18 0.000000000000000000e+00
6.479999855160713196e+00 -9.042460078489965745e-18 -7.521009138145018695e-18 0.000000000000000000e+00
6.519999854266643524e+00 -8.946138223109300911e-18 -7.562849077658028497e-18 0.000000000000000000e+00
