# time, vertical, radial, transverse
0.000000000000000000e+00 3.932071024337346792e-19 -6.289004659265629098e-19 2.750187832134543099e-18
3.999999910593032837e-02 -4.311142163260228420e-19 6.074996861116233213e-20 -3.511568593239644099e-18
7.999999821186065674e-02 2.115682036674115907e-18 4.029692263429751158e-18 2.733868541326955765e-18
1.199999973177909851e-01 -4.421538051246897966e-18 -9.784171197679824746e-18 -8.341918942278425344e-19
1.599999964237213135e-01 5.835074261995032694e-18 1.232022168551338808e-17 -3.754568638214550243e-19
1.999999955296516418e-01 -4.807427103514782737e-18 -9.326095096184871230e-18 -2.307888280483893913e-19
2.399999946355819702e-01 2.100166057061869780e-18 2.224282980023417607e-18 2.993686393892858159e-18
2.799999937415122986e-01 -2.218966841383007694e-19 1.824723426580021534e-18 -5.593252808466786216e-18
3.199999928474426270e-01 2.520043608456035056e-18 3.825302428595022864e-18 6.171171207824954283e-18
3.599999919533729553e-01 -9.615343515179119335e-18 -2.049217619060073125e-17 -3.900845968018984134e-18
3.999999910593032837e-01 1.825810613809153444e-17 3.895699774147942627e-17 4.123014036849781304e-19
4.399999901652336121e-01 -2.141294316970743093e-17 -4.485368845053016962e-17 8.376595701520273167e-19
4.799999892711639404e-01 1.555099879624322054e-17 2.894775752793065968e-17 1.844579287535452780e-18
5.199999883770942688e-01 -3.181737156410236023e-18 -2.137567889803904127e-18 -7.693311999901197519e-18
5.599999874830245972e-01 1.096874825634586057e-18 -2.361306314924149536e-18 1.262949899683007897e-17
5.999999865889549255e-01 -2.949685404018964347e-17 -6.246486736927181430e-17 -1.274668829864822319e-17
6.399999856948852539e-01 1.055489483405835950e-16 2.245548093924298740e-16 7.365361398115055391e-18
6.799999848008155823e-01 -2.195867273258045308e-16 -4.621376865543425116e-16 -1.460980456613469747e-18
7.199999839067459106e-01 3.275109629612415925e-16 6.783049902878701221e-16 -4.181604253972181980e-18
7.599999830126762390e-01 -3.441793378442525631e-16 -6.939264712855219741e-16 4.391563379613216747e-18
7.999999821186065674e-01 1.485330139985307952e-16 2.633861440699547655e-16 -8.969806003733538443e-18
8.399999812245368958e-01 4.338835715316235993e-16 9.749612654559313693e-16 2.402027712378185218e-17
8.799999803304672241e-01 -1.860144082456827165e-15 -3.977288026362657766e-15 -6.256034248508513001e-17
9.199999794363975525e-01 8.730941452085971054e-15 1.847248524427413969e-14 1.956112391781061962e-16
9.599999785423278809e-01 9.073767811059950907e-15 2.057364396750926916e-14 1.353917876258492390e-15
9.999999776482582092e-01 -8.593798265792429369e-16 3.794599615503102393e-16 1.731678843498229894e-15
