# time, vertical, radial, transverse
0.000000000000000000e+00 9.104401688091456630e-16 6.741175311617553049e-16 -2.323692460777237778e-16
3.999999910593032837e-02 -6.202430231496692038e-16 -2.533149090595543164e-16 -1.311364467255771186e-16
7.999999821186065674e-02 3.157567698508500855e-16 -3.445797119638882654e-17 2.477210655342787433e-16
1.199999973177909851e-01 -8.324023801833391062e-16 -4.717234114650636762e-16 7.995910709723829823e-17
1.599999964237213135e-01 3.165647387504577516e-15 2.271790523082017717e-15 -7.011197158135473149e-16
1.999999955296516418e-01 -7.747736759483814133e-15 -5.319277755916118701e-15 1.165751018561422874e-15
2.399999946355819702e-01 1.358427014201879458e-14 8.724739775061607562e-15 -1.130274962633848216e-15
2.799999937415122986e-01 -1.765274070203304409e-14 -1.074617076665163088e-14 8.205248741433024597e-16
3.199999928474426270e-01 1.468360982835292668e-14 8.798130787909030987e-15 -1.156119280494749569e-15
3.599999919533729553e-01 3.460557432845234758e-15 1.179666491225361841e-15 3.308119252324104073e-15
3.999999910593032837e-01 -5.421183258295059056e-14 -2.903482317924499360e-14 -7.830368354916572214e-15
4.399999901652336121e-01 2.379751950502395342e-13 1.340714693069457884e-13 1.546266581863164900e-14
4.799999892711639404e-01 1.681571453809738073e-14 -9.144250070676206661e-16 3.499127924442291060e-14
5.199999883770942688e-01 -1.393350809812545806e-13 -8.978962898254394603e-14 1.972616650164127310e-14
5.599999874830245972e-01 8.785593509674072376e-14 4.647013917565345841e-14 1.324214786291122374e-14
5.999999865889549255e-01 3.554019494913518171e-16 -3.237759694457053894e-15 1.461563911288976744e-14
6.399999856948852539e-01 2.536944486200809496e-14 9.152483195066451464e-15 1.092957425862550754e-14
6.799999848008155823e-01 4.919878020882606598e-14 1.253628521226346489e-15 5.568366497755050680e-14
7.199999839067459106e-01 -1.560758100822567838e-15 4.714655131101608189e-14 -7.475917786359786962e-14
7.599999830126762390e-01 8.037286996841430280e-14 -7.415949553251265824e-14 1.958415359258651773e-13
7.999999821186065674e-01 -1.246851682662963901e-14 1.509892791509628151e-13 -2.286986261606216298e-13
8.399999812245368958e-01 7.553237676620482873e-14 -1.702490150928497247e-13 3.021819889545440625e-13
8.799999803304672241e-01 7.333653420209884229e-14 1.634197831153869692e-13 -1.005722656846046411e-13
9.199999794363975525e-01 -4.542226791381836018e-13 7.220286130905150818e-13 -1.663316369056701596e-12
9.599999785423278809e-01 -5.530191119760274669e-16 -6.905887722969055178e-13 8.902879953384399074e-13
9.999999776482582092e-01 2.091865539550781122e-13 -3.073087930679321211e-13 7.877216935157775978e-13
1.039999976754188538e+00 -1.007419154047966001e-13 2.277710288763045988e-13 -4.375895261764526127e-13
1.079999975860118866e+00 4.409869760274886837e-14 -1.499065607786178584e-13 2.714169323444366547e-13
1.119999974966049194e+00 -1.785223931074142521e-14 8.365542441606521904e-14 -1.219493150711059568e-13
1.159999974071979523e+00 -5.972806364297866445e-15 -2.905478887259960349e-14 3.113820031285285960e-14
1.199999973177909851e+00 5.867026746273040850e-15 4.111364018172025360e-15 1.258096378296613607e-14
1.239999972283840179e+00 -9.259982034564017753e-15 9.590119123458862286e-15 -2.378032542765140375e-14
1.279999971389770508e+00 1.973933307453989990e-15 -5.450549069792032164e-15 1.468799542635679232e-14
1.319999970495700836e+00 -2.151675522327423174e-15 3.673726692795753464e-15 -5.286242812871932508e-15
1.359999969601631165e+00 -1.348478603176772476e-15 2.528180601075291452e-15 -2.643278101459145541e-15
1.399999968707561493e+00 -7.735372637398541075e-16 -9.104832424782216839e-16 1.832319656386971522e-15
1.439999967813491821e+00 -5.071299892733804995e-17 1.869203406386077382e-15 -5.340171046555042224e-16
1.479999966919422150e+00 -1.422003610059618926e-15 1.578954979777336160e-15 -3.128319513052701990e-15
1.519999966025352478e+00 3.852407389786094147e-16 -4.807465884368867051e-16 2.546333475038409113e-15
1.559999965131282806e+00 -6.178547628223896058e-16 1.676376792602240931e-15 -2.335572382435202739e-15
1.599999964237213135e+00 -2.061453415080904960e-16 5.353725282475352422e-16 -2.070018963422626224e-16
1.639999963343143463e+00 -6.833393854321911918e-17 1.844431681092828506e-16 2.162514574592932956e-16
1.679999962449073792e+00 -3.691570964292622780e-17 9.516516583971678486e-16 -7.465592352673411014e-16
1.719999961555004120e+00 -2.782721130643040043e-16 4.583853005897253921e-16 -7.081129588186740323e-16
1.759999960660934448e+00 2.376464108237996845e-16 9.668215352576226394e-17 6.360724219121038335e-16
1.799999959766864777e+00 -1.831567060435190883e-16 8.212708635255694411e-16 -1.166829490102827588e-15
1.839999958872795105e+00 5.943187352386303180e-17 1.348147052340209434e-16 1.597202790435403534e-16
1.879999957978725433e+00 5.831286398461088860e-17 2.711455745156854403e-16 -1.427343959221616365e-16
1.919999957084655762e+00 2.062747807940468084e-17 4.785117052961140750e-16 -4.419040342327207073e-16
1.959999956190586090e+00 -5.876853720110375142e-18 1.536199706606566853e-16 -1.632329804124310483e-16
1.999999955296516418e+00 1.525553525425493641e-16 1.763661857694387464e-16 1.216060336446389409e-16
2.039999954402446747e+00 -4.282974987290799359e-17 4.083192325197160368e-16 -6.072872201912104772e-16
2.079999953508377075e+00 1.027124235406518011e-16 2.388601023994851679e-17 1.997151266550645284e-16
2.119999952614307404e+00 6.336620572255924171e-17 2.403547987341880962e-16 -2.313240693183615983e-16
2.159999951720237732e+00 3.638843190856278065e-17 2.212269027950242047e-16 -2.081317506963387103e-16
2.199999950826168060e+00 5.611243250314146056e-17 7.013088179519399328e-17 -2.714498987188562735e-17
2.239999949932098389e+00 9.442146983928978839e-17 1.547028077766299194e-16 -5.007884465157985662e-17
2.279999949038028717e+00 1.259182340618281054e-18 2.020307001657784028e-16 -2.918457321356981949e-16
2.319999948143959045e+00 9.616972965886816242e-17 4.478512892092112267e-18 1.367004588246345482e-16
2.359999947249889374e+00 3.991920675616711307e-17 1.827894302550703218e-16 -2.104748855344951019e-16
2.399999946355819702e+00 4.360264574643224384e-17 9.577010496286674638e-17 -8.197733404813334131e-17
2.439999945461750031e+00 5.550024434342048783e-17 4.244491719873622172e-17 2.842824187609949069e-18
2.479999944567680359e+00 5.901368422200902967e-17 1.254660455742850865e-16 -9.800909174373373509e-17
2.519999943673610687e+00 1.683762093307450241e-17 8.449777669738977749e-17 -1.273785455850884223e-16
2.559999942779541016e+00 7.363066106336191153e-17 1.821426485548727074e-17 7.830153481336310757e-17
2.599999941885471344e+00 2.534451959945727022e-17 1.268952619284391301e-16 -1.743682805681601069e-16
2.639999940991401672e+00 3.834656308754347238e-17 3.299594754935242257e-17 2.474967686794116058e-18
2.679999940097332001e+00 4.786131466971710318e-17 4.463869845494627818e-17 -2.715417394938413006e-17
2.719999939203262329e+00 3.301516335341148295e-17 8.147303742589428669e-17 -7.505184476030990905e-17
2.759999938309192657e+00 2.532326652726624080e-17 3.864528480335138688e-17 -5.135546598467044388e-17
2.799999937415122986e+00 5.105257514514960275e-17 2.129023232555482588e-17 3.266905696364119359e-17
2.839999936521053314e+00 1.639144647924695248e-17 8.741497003939002343e-17 -1.256437099073082066e-16
2.879999935626983643e+00 3.569629552657715991e-17 2.007636339840246210e-18 3.009149622812401310e-17
2.919999934732913971e+00 3.209412170690484527e-17 4.586585782817564628e-17 -3.795880547841079507e-17
2.959999933838844299e+00 2.365066939091775491e-17 5.076764500699937384e-17 -5.582461017183958863e-17
2.999999932944774628e+00 2.275910446769557838e-17 1.162387798103736635e-17 -6.009120170347159398e-18
3.039999932050704956e+00 3.627823025453835793e-17 3.147007373627274974e-17 -7.005383849900682079e-18
3.079999931156635284e+00 1.054337189998477730e-17 4.820878893951885363e-17 -7.661574636586010200e-17
3.119999930262565613e+00 3.061250754399225014e-17 -1.667405854277603841e-18 3.528271190589293515e-17
3.159999929368495941e+00 2.181527997890952820e-17 4.137794167036190780e-17 -5.103357398184015977e-17
3.199999928474426270e+00 1.613959830137900966e-17 2.549227247072849323e-17 -2.171225969505030709e-17
3.239999927580356598e+00 2.248389864689670365e-17 8.991180038719904120e-18 -1.562751549499807758e-18
3.279999926686286926e+00 2.177364513045176837e-17 2.789138306980020936e-17 -1.836813316913321501e-17
3.319999925792217255e+00 1.019357659970410143e-17 2.791394217638298918e-17 -4.698007978731766329e-17
3.359999924898147583e+00 2.430470703984610796e-17 -4.043638455186737406e-18 3.141717024846002388e-17
3.399999924004077911e+00 1.334093394689261889e-17 3.906536585418507345e-17 -4.884909867541864657e-17
3.439999923110008240e+00 1.390580109728034533e-17 7.810403076291549863e-18 -4.444606474862666964e-18
3.479999922215938568e+00 1.696756771707441616e-17 8.315130799019243270e-18 -3.688016647629410599e-19
3.519999921321868896e+00 1.491317834734218045e-17 2.575148573669139199e-17 -2.552771002228837267e-17
3.559999920427799225e+00 8.476647963107098310e-18 9.363063327327836510e-18 -1.628642894502263450e-17
3.599999919533729553e+00 1.951939520949963531e-17 4.516744411375839000e-18 1.386952135362662286e-17
3.639999918639659882e+00 7.424857358273583738e-18 2.738007424341049104e-17 -4.348340735305100546e-17
3.679999917745590210e+00 1.185526889457832972e-17 -7.056592608023493196e-19 1.088364024326438088e-17
