# time, vertical, radial, transverse
0.000000000000000000e+00 9.496424172539263467e-17 7.944132084958254803e-17 -3.054839544347487578e-17
3.999999910593032837e-02 -9.200273780152201805e-17 -8.550778147764504339e-17 3.805904998444020639e-17
7.999999821186065674e-02 5.449732998386025529e-17 5.510836126632057327e-17 -2.886555921577383075e-17
1.199999973177909851e-01 -1.687192707322537976e-17 -1.527465428807772779e-17 9.169481927528977143e-18
1.599999964237213135e-01 2.409523222013376572e-17 1.608717138879000979e-17 3.212464207535958913e-18
1.999999955296516418e-01 -9.867457265499979014e-17 -9.034469985635950679e-17 5.717401108995545787e-18
2.399999946355819702e-01 2.079855621559545259e-16 2.138387790182605451e-16 -3.428738637012429432e-17
2.799999937415122986e-01 -2.776827022898942091e-16 -3.057042777072638219e-16 6.299307278823107927e-17
3.199999928474426270e-01 2.484684519004076864e-16 2.833558537531644075e-16 -6.743200356140732149e-17
3.599999919533729553e-01 -1.322315802099183200e-16 -1.554830087115988080e-16 4.180403993814252222e-17
3.999999910593032837e-01 6.599854532396421055e-17 7.824430940672754531e-17 -3.744289415408274904e-18
4.399999901652336121e-01 -2.453588822390884082e-16 -3.281233948655426278e-16 -1.230985162692377310e-17
4.799999892711639404e-01 8.286921656690538055e-16 1.133022247813642032e-15 -1.617019188415724720e-17
5.199999883770942688e-01 -1.776453573256731046e-15 -2.460862277075648349e-15 8.211554086301476024e-17
5.599999874830245972e-01 2.754628658294677768e-15 3.806252963840961511e-15 -1.621636765776202054e-16
5.999999865889549255e-01 -3.095240099355578505e-15 -4.110279493033885971e-15 2.063385472865775095e-16
6.399999856948852539e-01 1.820466248318552902e-15 1.864542602561414050e-15 -2.503972791600972136e-16
6.799999848008155823e-01 2.465351950377225948e-15 5.040343385189771887e-15 3.378983819857239483e-16
7.199999839067459106e-01 -1.268385909497737818e-14 -2.088841237127780963e-14 -5.169187206774950051e-16
7.599999830126762390e-01 4.351944103837013134e-14 6.748262047767639594e-14 8.397648925893008974e-16
7.999999821186065674e-01 -7.313254172913730429e-16 1.485120132565498349e-14 3.523015882819890744e-15
8.399999812245368958e-01 -4.177787154912948835e-14 -5.238792672753333674e-14 1.701923552900552807e-15
8.799999803304672241e-01 1.191960647702217105e-14 2.266437374055385573e-14 2.279624313814565372e-16
9.199999794363975525e-01 -5.627926904708147190e-15 2.013994380831718401e-16 1.366471289657056389e-15
9.599999785423278809e-01 -3.801211249083280386e-15 7.874819566495716283e-16 8.793019806034862329e-16
9.999999776482582092e-01 -8.858508663251995755e-16 8.036680519580841294e-15 1.322335097938776073e-15
1.039999976754188538e+00 -4.669923800975084212e-15 4.088206624146550949e-16 4.297353443689644327e-16
1.079999975860118866e+00 -5.572956521064042780e-15 1.842731144279241515e-15 2.228187862783670451e-15
1.119999974966049194e+00 -1.075556283467449199e-16 1.069142483174800888e-14 -1.153291814262047464e-16
1.159999974071979523e+00 -1.350282598286867068e-14 -1.130738854408264192e-14 1.838677213527262007e-15
1.199999973177909851e+00 1.214002352207899061e-14 3.415719047188758548e-14 1.017079572193324634e-15
1.239999972283840179e+00 1.733958162367343940e-14 6.463531404733657757e-14 4.262098576873540542e-15
1.279999971389770508e+00 -3.003487922251224548e-14 -4.219755157828330777e-14 9.626870159991085229e-16
1.319999970495700836e+00 -3.735453262925147779e-14 -3.645315393805503701e-14 1.130489911884069446e-14
