# time, vertical, radial, transverse
0.000000000000000000e+00 -1.448403345420956509e-15 -7.285386323928832314e-15 -5.785197019577026151e-15
3.999999910593032837e-02 4.846265539526939613e-15 9.576805867254733543e-15 7.337850518524646119e-15
7.999999821186065674e-02 -7.273355033248662158e-15 -6.377548445016145565e-15 -5.788739770650863406e-15
1.199999973177909851e-01 1.686571398749947595e-15 -8.730333298444747517e-15 1.471522031351923911e-15
1.599999964237213135e-01 2.344748191535472885e-14 4.507636278867721492e-14 1.549452892504632423e-15
1.999999955296516418e-01 -8.574586361646651914e-14 -1.200240328907966618e-13 3.744547022506594699e-15
2.399999946355819702e-01 2.414306849241256505e-13 3.063957691192627030e-13 -2.398110181093216024e-14
2.799999937415122986e-01 -3.393156453967094350e-14 1.949646472930908180e-13 1.205734089016914432e-13
3.199999928474426270e-01 -1.334051936864852985e-13 -3.084937110543251153e-14 -6.094348803162574309e-14
3.599999919533729553e-01 -4.695171117782592700e-14 9.191258996725082180e-14 1.427683234214782709e-13
3.999999910593032837e-01 -1.754502207040786642e-13 1.434581428766250463e-13 -2.117644809186458471e-14
4.399999901652336121e-01 3.270235955715179565e-13 4.248901605606079191e-13 -6.269774585962294893e-14
4.799999892711639404e-01 -8.145338296890258243e-13 1.102565750479698174e-13 6.171922683715820511e-13
5.199999883770942688e-01 1.235730051994323627e-12 1.084197834134101824e-13 -1.638898611068725530e-12
5.599999874830245972e-01 1.407586693763732867e-12 -8.000181913375854254e-13 -1.088825389742851187e-13
5.999999865889549255e-01 -1.402221798896789546e-12 -5.301334857940673935e-13 1.503642082214355504e-12
6.399999856948852539e-01 -1.157784312963485600e-13 2.649265825748443653e-13 -5.388213396072387582e-13
6.799999848008155823e-01 -9.286111593246459165e-14 -1.045753508806228580e-13 1.236373037099838301e-13
7.199999839067459106e-01 -2.233657985925674452e-13 1.043790876865386908e-13 2.438520081341266451e-14
7.599999830126762390e-01 9.614777565002441738e-14 2.384485863149166039e-14 -1.058060005307197487e-13
7.999999821186065674e-01 -1.034660786390304574e-13 1.570085436105728140e-14 8.541652560234069347e-14
8.399999812245368958e-01 3.950104862451553394e-14 3.281801939010620362e-14 -6.570439785718918178e-14
8.799999803304672241e-01 -1.472683809697627923e-14 3.072997089475393072e-15 2.551432512700557776e-14
9.199999794363975525e-01 5.206485278904437848e-15 1.401325780898332597e-14 -1.214876770973205552e-14
9.599999785423278809e-01 -1.172908287117024818e-17 5.657298490405082561e-15 9.559571044519542547e-16
9.999999776482582092e-01 9.201391600072384222e-15 5.275261122733354373e-15 -5.956793203949928042e-15
1.039999976754188538e+00 -5.271296482533216297e-15 2.768084174022078565e-15 6.062258500605821802e-15
1.079999975860118866e+00 9.099792689085006358e-15 4.419845528900623169e-15 -8.816778659820556140e-15
1.119999974966049194e+00 -1.473493757657706628e-15 3.444596077315509415e-16 5.060628987848758700e-15
