# time, vertical, radial, transverse
0.000000000000000000e+00 -3.283793503783272320e-23 3.335691189931822329e-23 0.000000000000000000e+00
3.999999910593032837e-02 -3.025474626383584174e-23 -5.287272131226927955e-23 -0.000000000000000000e+00
7.999999821186065674e-02 -1.925384118806050643e-23 3.380509738803994196e-23 0.000000000000000000e+00
1.199999973177909851e-01 -3.864548148158064607e-23 1.266894855689315673e-23 0.000000000000000000e+00
1.599999964237213135e-01 -5.108654832497450274e-23 -3.196992892640082554e-23 -0.000000000000000000e+00
1.999999955296516418e-01 -1.687898176783164681e-23 -8.844973642396781044e-24 0.000000000000000000e+00
2.399999946355819702e-01 -3.163092898716968149e-23 5.651576273635327992e-23 -0.000000000000000000e+00
2.799999937415122986e-01 -4.330897951376755430e-23 -9.124586419773096332e-24 0.000000000000000000e+00
3.199999928474426270e-01 -3.995643282905803630e-23 -9.496045549894916395e-23 -0.000000000000000000e+00
3.599999919533729553e-01 -2.501125706544371550e-23 1.519894965440471476e-23 0.000000000000000000e+00
3.999999910593032837e-01 -4.417460175432097512e-23 6.150546738581397242e-23 -0.000000000000000000e+00
4.399999901652336121e-01 -5.560427851492022711e-23 -9.636560882597678975e-24 -0.000000000000000000e+00
4.799999892711639404e-01 -1.681350347837451542e-23 4.339189896285234258e-24 -0.000000000000000000e+00
5.199999883770942688e-01 -5.204813646741968749e-23 -3.782797008966554367e-23 0.000000000000000000e+00
5.599999874830245972e-01 -4.719889901139140565e-23 -1.033805574479629317e-23 0.000000000000000000e+00
5.999999865889549255e-01 -2.052112257899807510e-23 3.183399144290888360e-23 0.000000000000000000e+00
6.399999856948852539e-01 -4.147885235283865826e-23 -3.055235353599528128e-23 -0.000000000000000000e+00
6.799999848008155823e-01 -3.063390963120582726e-23 3.658680824969451702e-23 -0.000000000000000000e+00
7.199999839067459106e-01 -3.741525844702664779e-23 1.343340727544273495e-23 0.000000000000000000e+00
7.599999830126762390e-01 -5.698443672486064823e-23 -3.914484292266707116e-24 0.000000000000000000e+00
7.999999821186065674e-01 -5.053449214642569651e-23 6.387115836226087435e-25 -0.000000000000000000e+00
8.399999812245368958e-01 -3.406686843732132310e-23 -3.743035748016154941e-23 0.000000000000000000e+00
8.799999803304672241e-01 -3.881577370634659042e-23 3.229385470149282162e-23 0.000000000000000000e+00
9.199999794363975525e-01 -4.805224307347089240e-23 2.732546988681861272e-23 -0.000000000000000000e+00
9.599999785423278809e-01 -5.331068209102341303e-23 -2.235873353129136670e-23 -0.000000000000000000e+00
9.999999776482582092e-01 -5.483633458425174546e-23 -1.112577252548874189e-24 -0.000000000000000000e+00
1.039999976754188538e+00 -5.321004437064403007e-23 -4.934274144829942645e-23 0.000000000000000000e+00
1.079999975860118866e+00 -3.016663185917423181e-23 5.533100377874689633e-23 -0.000000000000000000e+00
1.119999974966049194e+00 -6.190824564100694946e-23 -6.767512328309522495e-24 -0.000000000000000000e+00
1.159999974071979523e+00 -4.052776603202801706e-23 -5.736433195124846486e-23 0.000000000000000000e+00
1.199999973177909851e+00 -2.948929456181303964e-23 3.457914132809492314e-23 -0.000000000000000000e+00
1.239999972283840179e+00 -7.265498425113037577e-23 -5.267384040053003028e-23 0.000000000000000000e+00
1.279999971389770508e+00 -1.551810235866924017e-23 6.742357072653249500e-23 -0.000000000000000000e+00
1.319999970495700836e+00 -2.649521668729449194e-23 -8.125054051788538481e-23 -0.000000000000000000e+00
1.359999969601631165e+00 -7.336833363069673601e-23 -6.799155016778968576e-24 0.000000000000000000e+00
1.399999968707561493e+00 -8.110721871901205899e-24 1.009767984783138788e-22 0.000000000000000000e+00
1.439999967813491821e+00 -2.058648895797432680e-23 -2.360231974307680910e-22 -0.000000000000000000e+00
1.479999966919422150e+00 -7.623415143598322610e-23 8.003106444220975730e-23 0.000000000000000000e+00
1.519999966025352478e+00 -9.925467558957735286e-24 2.411320565443020528e-22 0.000000000000000000e+00
1.559999965131282806e+00 -2.805942811434647523e-24 -1.615486127093390812e-22 -0.000000000000000000e+00
1.599999964237213135e+00 -3.502342948991099545e-23 -1.065465440319712995e-22 -0.000000000000000000e+00
1.639999963343143463e+00 -5.658542434616720118e-23 1.402922436000153729e-22 0.000000000000000000e+00
1.679999962449073792e+00 -1.318373232805925155e-23 4.061248048969901256e-23 0.000000000000000000e+00
1.719999961555004120e+00 -2.734850568231195589e-24 -1.044298869601334568e-22 -0.000000000000000000e+00
1.759999960660934448e+00 -5.071819941804278908e-23 -2.271929133712547051e-23 -0.000000000000000000e+00
1.799999959766864777e+00 -2.364307327695769408e-23 1.704101215693754301e-23 0.000000000000000000e+00
1.839999958872795105e+00 -1.695949869429114446e-23 5.400791636134272233e-23 0.000000000000000000e+00
1.879999957978725433e+00 -8.777533366810531135e-24 -1.932903970214283709e-23 -0.000000000000000000e+00
1.919999957084655762e+00 -3.269406079198233825e-23 -1.265323561483455724e-22 -0.000000000000000000e+00
1.959999956190586090e+00 -3.343954446677344221e-23 1.299070362392740318e-22 0.000000000000000000e+00
1.999999955296516418e+00 3.032141648873221376e-24 1.343300937151070881e-22 0.000000000000000000e+00
2.039999954402446747e+00 -1.156695361714810255e-23 -5.076395837022573829e-23 -0.000000000000000000e+00
2.079999953508377075e+00 -3.563104300496889105e-23 -1.978640398192510604e-22 -0.000000000000000000e+00
2.119999952614307404e+00 -2.073420546366833384e-23 1.462387189121727774e-22 0.000000000000000000e+00
2.159999951720237732e+00 -1.913713276735507168e-23 9.272988421571427217e-23 0.000000000000000000e+00
2.199999950826168060e+00 -1.103671376512238599e-23 -9.630090147538795403e-23 -0.000000000000000000e+00
2.239999949932098389e+00 -1.567726393147950148e-23 -6.536932772860382593e-23 -0.000000000000000000e+00
2.279999949038028717e+00 -6.133791430329438655e-23 -1.381405780875866258e-22 0.000000000000000000e+00
2.319999948143959045e+00 -2.435020540758614640e-23 1.616944445004264921e-22 0.000000000000000000e+00
2.359999947249889374e+00 -2.322167347301729253e-24 1.124067381397253577e-22 0.000000000000000000e+00
2.399999946355819702e+00 -5.136234904057346655e-23 -8.005994089899104864e-23 -0.000000000000000000e+00
2.439999945461750031e+00 -6.452386713817759496e-23 -1.521693775430321748e-22 0.000000000000000000e+00
2.479999944567680359e+00 -4.516467200232910207e-23 1.494264267876133203e-22 0.000000000000000000e+00
2.519999943673610687e+00 -1.535477167635690580e-23 1.277066985494457249e-23 0.000000000000000000e+00
2.559999942779541016e+00 -1.142780092777684393e-23 1.858522047371025278e-23 -0.000000000000000000e+00
2.599999941885471344e+00 -5.361592414487858945e-23 -6.466643753810786180e-23 -0.000000000000000000e+00
2.639999940991401672e+00 -5.355476062618436430e-23 -1.266424334289695398e-22 0.000000000000000000e+00
2.679999940097332001e+00 -1.488850376318851098e-23 2.336817743753272298e-22 0.000000000000000000e+00
2.719999939203262329e+00 -4.593812263919972251e-23 5.350254017599809406e-24 0.000000000000000000e+00
2.759999938309192657e+00 -7.770950105623343262e-23 -1.373640401425291252e-22 -0.000000000000000000e+00
2.799999937415122986e+00 -4.746268089661498822e-23 -7.137472124441046671e-23 0.000000000000000000e+00
2.839999936521053314e+00 -1.916343173036239153e-23 1.923613126564305489e-22 0.000000000000000000e+00
2.879999935626983643e+00 -1.925332071550656376e-23 5.389150103951578801e-23 -0.000000000000000000e+00
2.919999934732913971e+00 -4.170638590039743950e-23 -2.238455998337940534e-23 0.000000000000000000e+00
2.959999933838844299e+00 -5.167045813436743789e-23 -1.658158197415105129e-22 -0.000000000000000000e+00
2.999999932944774628e+00 -2.353726813453249720e-23 -7.232105048160520576e-23 0.000000000000000000e+00
3.039999932050704956e+00 -1.690875706117367614e-23 2.660589473180153034e-22 0.000000000000000000e+00
3.079999931156635284e+00 -5.381438583640375357e-23 -7.379018285291750436e-23 0.000000000000000000e+00
3.119999930262565613e+00 -3.072182153118774566e-23 -9.111317922361195974e-23 -0.000000000000000000e+00
3.159999929368495941e+00 1.098063306947949561e-24 -1.362323018838651699e-22 -0.000000000000000000e+00
3.199999928474426270e+00 -2.397776732721013172e-23 9.918070276171420529e-23 0.000000000000000000e+00
3.239999927580356598e+00 4.255099383954075691e-24 1.855609497170007807e-22 -0.000000000000000000e+00
3.279999926686286926e+00 -4.555606025746784030e-23 -2.332884285749514950e-23 0.000000000000000000e+00
3.319999925792217255e+00 -6.594505208568079916e-23 -7.689117609288587830e-23 -0.000000000000000000e+00
3.359999924898147583e+00 1.132732041497774951e-23 -1.637578606050738212e-22 0.000000000000000000e+00
3.399999924004077911e+00 -3.303402351662043851e-23 1.904427335830405551e-22 0.000000000000000000e+00
3.439999923110008240e+00 -2.351165129255150702e-23 2.506840246496722358e-23 -0.000000000000000000e+00
3.479999922215938568e+00 2.469812443450792050e-23 3.685242333517635727e-23 0.000000000000000000e+00
3.519999921321868896e+00 -3.104341317339276632e-23 -1.689272011162756843e-22 -0.000000000000000000e+00
3.559999920427799225e+00 -2.789950848125499847e-23 -1.103489921661093914e-22 0.000000000000000000e+00
3.599999919533729553e+00 -1.345093370019867496e-23 2.487947483587050019e-22 -0.000000000000000000e+00
3.639999918639659882e+00 -3.704500883827677536e-23 -1.154033597572379381e-22 0.000000000000000000e+00
3.679999917745590210e+00 -7.243973865200814841e-24 6.255019258105676200e-23 -0.000000000000000000e+00
3.719999916851520538e+00 -1.286237694131387003e-23 -1.121149253435760492e-22 -0.000000000000000000e+00
3.759999915957450867e+00 -6.328415480538752253e-23 -6.330537871690467144e-23 0.000000000000000000e+00
3.799999915063381195e+00 3.141522597616131337e-24 1.724220766163853160e-22 -0.000000000000000000e+00
3.839999914169311523e+00 -6.989845591220956308e-24 -5.795345714432187833e-23 0.000000000000000000e+00
3.879999913275241852e+00 -5.142796055679355722e-23 -2.731743187212032688e-23 -0.000000000000000000e+00
3.919999912381172180e+00 -2.267889520624066983e-23 -6.171134003807311404e-23 0.000000000000000000e+00
3.959999911487102509e+00 -4.430891564766171076e-23 8.572169463150203399e-23 0.000000000000000000e+00
3.999999910593032837e+00 -4.364590111549660170e-23 -3.897578793043976822e-23 -0.000000000000000000e+00
4.039999909698963165e+00 -1.784508185664890356e-23 4.697418987120727777e-23 0.000000000000000000e+00
4.079999908804893494e+00 -4.088052207862347710e-23 -9.282151047784737621e-24 -0.000000000000000000e+00
