# time, vertical, radial, transverse
0.000000000000000000e+00 2.525512909912208725e-21 -7.506883448193946235e-22 1.428723694907318999e-21
3.999999910593032837e-02 1.435542684724566579e-21 4.838188738531812304e-22 -6.258884521770369569e-22
7.999999821186065674e-02 6.732761015371124508e-22 7.494861953283305162e-22 1.925775511280036826e-22
1.199999973177909851e-01 1.035380781111427909e-21 -9.932243916210837176e-22 -1.115529113526747525e-21
1.599999964237213135e-01 2.219439521056187724e-21 -7.773444110625860186e-22 -3.224356559528018635e-21
1.999999955296516418e-01 3.451865460135650400e-21 -2.024248269005823915e-22 -9.980891668703860848e-22
2.399999946355819702e-01 3.001972670446662163e-21 1.822531361939105795e-23 -2.572762003438811031e-22
2.799999937415122986e-01 1.419654616086063405e-21 1.386477155307375108e-21 2.816952400508387745e-23
3.199999928474426270e-01 7.809238811162799804e-22 1.504827151777021731e-21 1.118326209414988102e-21
3.599999919533729553e-01 1.188434683996319986e-21 1.278708583463128412e-21 1.089558929190381831e-22
3.999999910593032837e-01 2.497043460891745627e-21 2.253536468543870802e-21 -4.686272481180253877e-22
4.399999901652336121e-01 2.934048781710885151e-21 2.880451877018686024e-21 6.842806876683482180e-22
4.799999892711639404e-01 2.488894867980206746e-21 2.281666633408008114e-21 1.376458724777762598e-21
5.199999883770942688e-01 2.066390614174906621e-21 2.107319208022318026e-21 1.803549254386638304e-22
5.599999874830245972e-01 1.055904585989253469e-21 2.016113054281731677e-21 5.004449077361527797e-22
5.999999865889549255e-01 6.266180352376693344e-22 5.137546499334177960e-22 1.727762266590104787e-21
6.399999856948852539e-01 1.286081352525059166e-21 -7.280471781001552060e-22 9.095628139554890355e-22
6.799999848008155823e-01 2.135795318380928588e-21 -6.067569224832425084e-22 2.387654796098814656e-22
7.199999839067459106e-01 2.513238506196557878e-21 1.627071810617053329e-22 1.256280190986558320e-21
7.599999830126762390e-01 1.729819398832432653e-21 6.372590233283404119e-22 2.745742300191977815e-21
7.999999821186065674e-01 -1.003443106384338586e-21 2.701690815509749605e-22 2.319668457317902718e-21
8.399999812245368958e-01 -3.317202068586766368e-21 6.181068434862879768e-22 5.783985790319689424e-23
8.799999803304672241e-01 -1.877729971511143911e-21 1.387516435080726746e-21 9.357795649478361430e-22
9.199999794363975525e-01 2.280664990195191344e-21 6.538326546845496179e-22 3.004741788714682071e-21
9.599999785423278809e-01 6.257678819565626563e-21 3.327821074261549872e-22 1.953412764876816196e-21
9.999999776482582092e-01 7.901729937032086620e-21 1.118002579403309986e-21 1.291200146802395822e-21
1.039999976754188538e+00 7.590434059068229168e-21 1.429023344101665301e-21 1.876515609566808824e-21
