# time, vertical, radial, transverse
0.000000000000000000e+00 -6.700154699501581570e-18 -6.136373258414096061e-19 2.162281589335179883e-19
3.999999910593032837e-02 6.507860234705730792e-18 -6.172815005811571221e-19 8.366998827114002976e-19
7.999999821186065674e-02 -2.929849188149091707e-18 7.313387868634890388e-19 -6.450897558352153208e-19
1.199999973177909851e-01 -1.071185465661983423e-18 3.255047147376899527e-19 -1.077121623893617640e-18
1.599999964237213135e-01 9.826936775425564990e-19 -2.178726390411611734e-18 2.990411758219124761e-18
1.999999955296516418e-01 6.031761131453095261e-18 3.261849542468553277e-18 -3.482222609818563486e-18
2.399999946355819702e-01 -1.703153975540771941e-17 -2.775969278445699942e-18 2.002590008487459161e-18
2.799999937415122986e-01 2.423589830868877566e-17 8.338990937772904827e-19 5.044503836870717297e-19
3.199999928474426270e-01 -1.958494794962462078e-17 1.015334760268160676e-18 -1.447007434762781517e-18
3.599999919533729553e-01 3.964370989706367221e-18 -1.187609996122773757e-18 -3.006931308391358555e-19
3.999999910593032837e-01 8.730802619538734690e-18 -7.544955451521673064e-19 4.131944933760678614e-18
4.399999901652336121e-01 5.634833996737143240e-18 4.419635843078140245e-18 -6.637365459027932484e-18
4.799999892711639404e-01 -6.476058479165658098e-17 -7.590382210764801746e-18 5.296257313602837009e-18
5.199999883770942688e-01 1.600837422301992626e-16 1.006612092169234451e-17 6.079849868001474024e-19
5.599999874830245972e-01 -2.392723981756716944e-16 -9.865292668109760245e-18 -6.873911843285895968e-18
5.999999865889549255e-01 2.134336682502180405e-16 6.047464466973906006e-18 1.112798508984269599e-17
6.399999856948852539e-01 2.830934681696817327e-17 2.203919848398072615e-18 -4.938271104037994157e-18
6.799999848008155823e-01 -6.119146128185093701e-16 -1.416618488292442638e-17 -3.439602733124047398e-17
7.199999839067459106e-01 1.658606575801968590e-15 7.602579717058688850e-17 7.793197437422349532e-17
7.599999830126762390e-01 -3.475925419479608278e-15 -2.058901300188153976e-16 -3.622704025474376642e-17
7.999999821186065674e-01 9.338156320154667360e-15 4.999226075597107259e-16 -4.553496910375543101e-17
8.399999812245368958e-01 2.078799530863762008e-14 9.988908423110841748e-16 5.239649908617139129e-16
8.799999803304672241e-01 3.881879383698105765e-15 -5.142801674082875401e-16 7.968767895363271135e-16
9.199999794363975525e-01 7.475444581359625048e-16 2.976286050397902637e-16 7.956507033668458140e-16
9.599999785423278809e-01 2.460277639329433368e-15 1.275904709473252355e-15 1.630734535865485673e-15
9.999999776482582092e-01 8.647936047054826647e-16 1.966298150364309387e-16 2.437495393678545875e-15
1.039999976754188538e+00 2.922601997852325235e-15 -5.106796161271631330e-16 3.157573984935879634e-15
1.079999975860118866e+00 1.023268443532288042e-15 -6.939202430658042707e-16 3.723491216078400332e-15
1.119999974966049194e+00 3.264503320679068318e-15 -7.268606568686663559e-16 4.391635768115520631e-15
1.159999974071979523e+00 -1.537449861643835938e-16 -1.914434949867427316e-15 5.061496049165725781e-15
1.199999973177909851e+00 -8.703855797648429465e-15 -2.646460663527250227e-15 5.431407596915960198e-15
