# time, vertical, radial, transverse
0.000000000000000000e+00 1.282568451443921676e-20 5.711611184011644836e-21 -1.651750558551157184e-20
3.999999910593032837e-02 -1.982300545932957752e-21 1.104369373727820447e-21 -1.002588234655377071e-20
7.999999821186065674e-02 -1.792121451238415218e-21 1.903136315206665955e-21 -8.237859283610760462e-21
1.199999973177909851e-01 1.865263854483600756e-20 -2.216297811941103579e-21 -5.896040988773165916e-21
1.599999964237213135e-01 9.186192251320335674e-21 -6.712192135438499285e-21 -7.927728473688943848e-22
1.999999955296516418e-01 1.005785499330613629e-20 -1.372349966999308894e-20 2.404416887813454094e-21
2.399999946355819702e-01 2.427666423443497284e-20 5.004803682595593504e-21 -6.182920841979466653e-21
2.799999937415122986e-01 3.266456971573461688e-20 4.501477857132840915e-21 2.182855851629028468e-20
3.199999928474426270e-01 7.249538214182393280e-20 -1.772034607938621627e-20 1.571282304269061666e-20
3.599999919533729553e-01 7.140595670307448435e-20 8.159054942780130859e-20 -6.851878708857839578e-20
3.999999910593032837e-01 6.684039277615738958e-20 -1.470692723160027409e-19 2.070934499442955773e-19
4.399999901652336121e-01 6.590424561636609792e-20 2.231814022479738811e-19 -3.450991528097802162e-19
4.799999892711639404e-01 5.588565343828122394e-20 -1.665226392333352152e-19 4.619997469035297540e-19
5.199999883770942688e-01 4.802616615506849588e-20 -1.613155262703003324e-19 -7.728250039917838680e-20
5.599999874830245972e-01 -2.144398270065295220e-22 3.446409095886337841e-19 -3.267596184741705360e-19
5.999999865889549255e-01 1.815740624522277206e-20 -5.065525101599632427e-19 1.092693537430022902e-18
6.399999856948852539e-01 2.198415671728071108e-21 2.994199803652008704e-19 -1.124990035350492714e-18
6.799999848008155823e-01 -3.984204255402801112e-20 8.899843351173330417e-20 5.051883817941415929e-19
7.199999839067459106e-01 -4.173524192907506898e-21 -2.386266828580118920e-19 6.140196546766674341e-19
7.599999830126762390e-01 -6.602324020832383897e-20 2.662794997831951997e-19 -1.229894223797600632e-18
7.999999821186065674e-01 -1.112910386069643209e-20 -3.625293132358819659e-20 9.622958714317064922e-19
8.399999812245368958e-01 -3.961232408755677017e-20 3.162218220609247344e-20 -5.843798689397771863e-20
8.799999803304672241e-01 -5.374247180611746357e-20 3.181892793691076782e-20 -7.360238214459968816e-19
9.199999794363975525e-01 3.139829729548182294e-20 1.102727935631264687e-19 8.100594186544185148e-19
9.599999785423278809e-01 -8.101647352987128439e-20 5.226746591091568634e-21 -2.618021426314953641e-19
9.999999776482582092e-01 -2.279626620804720022e-20 -1.526137083374123774e-20 -4.333886352014814893e-19
1.039999976754188538e+00 2.346995309210342450e-20 1.406652074820158252e-19 6.334751674330618518e-19
1.079999975860118866e+00 -7.643766508635962891e-20 -4.876101300510527008e-20 -4.437573579707532401e-19
1.119999974966049194e+00 2.534314091917622185e-20 -5.086736010184722723e-20 -1.344569540151496633e-19
1.159999974071979523e+00 -2.397837040035710839e-21 1.432400580370085726e-19 4.138546216836402835e-19
1.199999973177909851e+00 1.592161602559372131e-20 -8.755326774689820343e-20 -4.898157044408435340e-19
1.239999972283840179e+00 -6.533179774947939232e-21 -2.089343809075216837e-20 1.369140250062628154e-19
1.279999971389770508e+00 1.512588454488650243e-20 1.160577198788814657e-19 1.284282831193195341e-19
1.319999970495700836e+00 2.018658840086118284e-20 -1.436747680827465825e-19 -3.817612537204695364e-19
1.359999969601631165e+00 -1.799273618985353056e-20 5.727058649540594998e-20 2.801917560191213662e-19
1.399999968707561493e+00 3.891649669185426389e-20 -5.092663180050749559e-21 -1.449210316195603734e-19
1.439999967813491821e+00 1.339934208033355310e-20 -1.219307108613065719e-19 -1.158971301151723388e-19
1.479999966919422150e+00 -1.872595234431173620e-20 7.941825685975345230e-20 2.102997456177035931e-19
1.519999966025352478e+00 8.495129577568149512e-20 -1.000244296278651681e-19 -2.537562124871328797e-19
1.559999965131282806e+00 -5.401999203513696294e-20 2.612058486173296360e-23 1.293401510338298995e-19
1.599999964237213135e+00 8.311113930403734804e-20 3.184180741300224266e-20 -1.733208909726613391e-21
1.639999963343143463e+00 -4.501020889335904530e-21 -1.038338055536769325e-19 -1.013129704574566814e-19
